"Feature"	"Mean.Resolute3(n=3)"	"Mean.SvalbardTaylor(n=6)"	"StdErr.Resolute3(n=3)"	"StdErr.SvalbardTaylor(n=6)"	"FishersTest.Pval"	"FishersTest.adjPval"	"3300038653.Resolute3"	"3300039024.Resolute3"	"3300039023.Resolute3"	"3300061232.SvalbardTaylor"	"3300061231.SvalbardTaylor"	"3300061096.SvalbardTaylor"	"3300061097.SvalbardTaylor"	"3300061098.SvalbardTaylor"	"3300061230.SvalbardTaylor"
"Actinospica"	"0"	"178.5"	"0"	"65.8593197656945"	"1.66889955397866e-17"	"4.91918506986902e-17"	"0"	"0"	"0"	"151"	"503"	"91"	"94"	"89"	"143"
"Actinosynnema"	"0"	"219.333333333333"	"0"	"79.97985857563"	"1.686895712889e-21"	"5.46492807289824e-21"	"0"	"0"	"0"	"194"	"610"	"123"	"86"	"117"	"186"
"Actinotalea"	"0"	"701.166666666667"	"0"	"236.819399074015"	"8.77784129954219e-68"	"5.70470659710612e-67"	"0"	"0"	"0"	"820"	"1796"	"301"	"323"	"294"	"673"
"Actinotignum"	"0"	"22.1666666666667"	"0"	"6.45712354260351"	"0.0166319402284791"	"0.0215395054535356"	"0"	"0"	"0"	"21"	"52"	"13"	"8"	"14"	"25"
"Acuticoccus"	"0"	"175.333333333333"	"0"	"69.1224356566745"	"3.70408631867637e-17"	"1.08283691286853e-16"	"0"	"0"	"0"	"179"	"497"	"61"	"55"	"66"	"194"
"Acyrthosiphon"	"0.333333333333333"	"84.5"	"0.333333333333333"	"14.9236948061352"	"2.90772940033896e-07"	"5.464143694244e-07"	"0"	"0"	"1"	"70"	"90"	"89"	"24"	"135"	"99"
"Adhaeribacter"	"0"	"2310.33333333333"	"0"	"429.378284396301"	"3.44432032178175e-222"	"4.94870058788732e-221"	"0"	"0"	"0"	"3484"	"3269"	"1449"	"1309"	"1323"	"3028"
"Adlercreutzia"	"0"	"57.5"	"0"	"22.6196816953732"	"7.29211191397935e-06"	"1.25074553385385e-05"	"0"	"0"	"0"	"129"	"116"	"12"	"11"	"8"	"69"
"Adustoporia"	"0"	"2.66666666666667"	"0"	"0.557773351022717"	"1"	"1"	"0"	"0"	"0"	"3"	"4"	"3"	"1"	"1"	"4"
"Advenella"	"0"	"150"	"0"	"55.0660209808796"	"7.04912853013919e-15"	"1.89793342945932e-14"	"0"	"0"	"0"	"178"	"403"	"65"	"61"	"45"	"148"
"Aedes"	"0.333333333333333"	"25.5"	"0.333333333333333"	"3.93912003709796"	"0.0481574289994466"	"0.0595739005846436"	"0"	"0"	"1"	"21"	"25"	"36"	"9"	"32"	"30"
"Aegirvirus"	"0"	"0.333333333333333"	"0"	"0.333333333333333"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"Aequoribacter"	"0"	"26.6666666666667"	"0"	"10.0719632864921"	"0.00490501606635085"	"0.00673913871208753"	"0"	"0"	"0"	"30"	"74"	"9"	"14"	"9"	"24"
"Aequorivita"	"1"	"652.833333333333"	"1"	"99.4533112124032"	"2.16667977898542e-57"	"1.28081955938548e-56"	"0"	"0"	"3"	"952"	"814"	"496"	"354"	"467"	"834"
"Aeribacillus"	"0"	"39.3333333333333"	"0"	"13.0247627404281"	"0.000326392781381546"	"0.000496563376802694"	"0"	"0"	"0"	"45"	"100"	"19"	"19"	"16"	"37"
"Aeriscardovia"	"0"	"2"	"0"	"1.4142135623731"	"1"	"1"	"0"	"0"	"0"	"1"	"9"	"1"	"1"	"0"	"0"
"Aerococcus"	"0"	"114.5"	"0"	"40.213389146734"	"2.27116895773724e-11"	"5.23512614430944e-11"	"0"	"0"	"0"	"148"	"285"	"45"	"39"	"30"	"140"
"Aeromicrobium"	"0"	"2583.16666666667"	"0"	"552.266204933012"	"3.00827831991928e-248"	"4.6562916603968e-247"	"0"	"0"	"0"	"1556"	"4047"	"1941"	"4533"	"2040"	"1382"
"Aeromonas"	"0"	"461.166666666667"	"0"	"153.846550533677"	"1.25468826958285e-44"	"6.40130766838129e-44"	"0"	"0"	"0"	"519"	"1164"	"207"	"163"	"220"	"494"
"Aerophototrophica"	"0"	"280.666666666667"	"0"	"113.026152332596"	"3.00638403255976e-27"	"1.12528673368241e-26"	"0"	"0"	"0"	"314"	"794"	"96"	"76"	"79"	"325"
"Aeropyrum"	"0"	"3.66666666666667"	"0"	"1.38242942355518"	"1"	"1"	"0"	"0"	"0"	"6"	"9"	"0"	"1"	"4"	"2"
"Aestuariibacter"	"0"	"30.8333333333333"	"0"	"10.044622663119"	"0.00231946301356471"	"0.00327237318162102"	"0"	"0"	"0"	"35"	"76"	"13"	"9"	"18"	"34"
"Aestuariimicrobium"	"0"	"128.666666666667"	"0"	"47.2042841746853"	"1.10776825661433e-12"	"2.69293588330221e-12"	"0"	"0"	"0"	"234"	"252"	"24"	"26"	"21"	"215"
"Aestuariisphingobium"	"0"	"1021.33333333333"	"0"	"396.195294155687"	"1.68679685315469e-98"	"1.42223608355464e-97"	"0"	"0"	"0"	"1669"	"2336"	"160"	"201"	"137"	"1625"
"Aestuariispira"	"0"	"103.833333333333"	"0"	"41.9089621812699"	"2.19956430571746e-10"	"4.84357665671391e-10"	"0"	"0"	"0"	"113"	"292"	"36"	"28"	"25"	"129"
"Aestuariivita"	"0"	"59.8333333333333"	"0"	"25.2961349704741"	"3.11842110687066e-06"	"5.51098799029983e-06"	"0"	"0"	"0"	"45"	"179"	"21"	"21"	"20"	"73"
"Afifella"	"0"	"194.666666666667"	"0"	"85.9467535422045"	"3.44821196568438e-19"	"1.06129405744983e-18"	"0"	"0"	"0"	"217"	"595"	"54"	"56"	"47"	"199"
"Afipia"	"0"	"4633"	"0"	"1732.085428994"	"0"	"0"	"0"	"0"	"0"	"6282"	"12280"	"1850"	"1034"	"1786"	"4566"
