#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Rotifera;class__Monogononta;order__Ploimida;family__unknown	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Rotifera;class__Monogononta;order__Flosculariacea;family__unknown	0	0	0	0	0	0	0	0	0	0	44	14	13	0	0	0	0
root__Root;domain__Eukaryota;phylum__Rotifera;class__Bdelloidea;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Rotifera;class__Bdelloidea;order__Philodinida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
root__Root;domain__Eukaryota;phylum__Rotifera;class__Bdelloidea;order__Adinetida;family__unknown	0	0	2	0	0	0	0	0	0	0	0	0	0	18	0	5	4
root__Root;domain__Eukaryota;phylum__Retaria;class__RADA;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Retaria;class__Polycystinea;order__Spumellaria;family__unknown	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Retaria;class__Acantharia;order__Arthracanthida;family__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__unknown;family__unknown	0	0	0	210	175	190	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Prymnesiales;family__unknown	0	0	0	1461	1429	1583	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__unknown;order__Isochrysidales;family__unknown	0	0	0	6718	6277	7101	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__uncultured;order__unknown;family__unknown	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__Coccolithales;order__unknown;family__unknown	0	0	0	12	15	20	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__unknown	0	0	0	7	1	1	0	0	0	2	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__SyndinialesGroupIII	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__SyndinialesGroupII	0	0	1	4	1	7	0	0	0	0	0	0	0	0	0	1	1
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__SyndinialesGroupI	0	0	0	3	2	2	0	0	0	11	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Colpodellida;order__unknown;family__unknown	0	1	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Porifera;class__Calcarea;order__Clathrinida;family__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Platyhelminthes;class__Catenulida;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	0	0	28	7	0	0	0	0
root__Root;domain__Eukaryota;phylum__Platyhelminthes;class__Catenulida;order__unknown;family__Stenostomidae	0	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0
root__Root;domain__Eukaryota;phylum__Platyhelminthes;class__Catenulida;order__unknown;family__Catenulidae	0	0	0	0	0	0	0	0	0	0	0	36	22	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__unknown;order__unknown;family__unknown	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	1	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Embryophyta;order__unknown;family__unknown	263	369	543	1352	1257	1314	0	0	0	1	8	15	17	54	28	23	12
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Embryophyta;order__Pottiales;family__unknown	30	51	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Embryophyta;order__Polytrichales;family__unknown	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Embryophyta;order__Marchantiales;family__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Embryophyta;order__Lycopodiales;family__unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Embryophyta;order__Bryales;family__unknown	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta;class__Coleochaetophyceae;order__unknown;family__unknown	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Peronosporomycetes;class__unknown;order__unknown;family__unknown	1	1	3	0	0	2	0	0	0	0	0	0	1	5	0	4	2
root__Root;domain__Eukaryota;phylum__Pavlovophyceae;class__unknown;order__unknown;family__unknown	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__NucleariidaeandFonticulagroup;class__unknown;order__unknown;family__Nucleariidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
root__Root;domain__Eukaryota;phylum__Neocallimastigomycota;class__Neocallimastigomycetes;order__Neocallimastigales;family__Neocallimastigaceae	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Enoplea;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Enoplea;order__Triplonchida;family__unknown	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Enoplea;order__Enoplida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Chromadorea;order__Tylenchida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Chromadorea;order__Rhabditida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0
root__Root;domain__Eukaryota;phylum__Nematozoa;class__Chromadorea;order__Araeolaimida;family__unknown	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Mucoromycota;class__IncertaeSedis;order__Mucorales;family__Rhizopodaceae	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Mucoromycota;class__IncertaeSedis;order__Mucorales;family__Mucoraceae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
root__Root;domain__Eukaryota;phylum__Mucoromycota;class__IncertaeSedis;order__Mortierellales;family__Mortierellaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__Mucoromycota;class__Glomeromycetes;order__Glomerales;family__uncultured	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Mucoromycota;class__Glomeromycetes;order__Glomerales;family__Glomeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__Mollusca;class__Polyplacophora;order__Neoloricata;family__unknown	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-7;class__MAST-7D;order__unknown;family__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-3;class__unknown;order__unknown;family__unknown	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-2;class__unknown;order__unknown;family__unknown	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-1;class__MAST-1C;order__unknown;family__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-12;class__unknown;order__unknown;family__unknown	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__MAST-12;class__MAST-12C;order__unknown;family__unknown	0	0	3	5	0	5	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Labyrinthulomycetes;class__unknown;order__unknown;family__Thraustochytriaceae	0	0	0	627	622	724	0	0	0	0	0	7	0	0	2	1	0
root__Root;domain__Eukaryota;phylum__Labyrinthulomycetes;class__unknown;order__unknown;family__Labyrinthulaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Labyrinthulomycetes;class__unknown;order__unknown;family__Amphitraemidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
root__Root;domain__Eukaryota;phylum__Labyrinthulomycetes;class__uncultured;order__unknown;family__unknown	0	1	0	16	13	15	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Klebsormidiophyceae;class__unknown;order__unknown;family__unknown	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__IncertaeSedis;class__unknown;order__unknown;family__unknown	0	0	0	243	238	258	0	0	0	0	0	0	0	0	0	0	0
