#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Salpingoecidae;genus__unknown	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Salpingoecidae;genus__Salpingoeca	0	0	0	6	5	14	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Salpingoecidae;genus__FreshwaterChoanoflagellates2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Acanthoecidae;genus__unknown	0	0	0	22	25	30	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Acanthoecidae;genus__Pleurasiga	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__unknown;family__Acanthoecidae;genus__FV23-1A4	0	0	0	497	408	469	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__Codosigidae;family__unknown;genus__Lagenoeca	0	0	0	651	620	622	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__Codosigidae;family__unknown;genus__FreshwaterChoanoflagellates1	0	0	0	8	4	12	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__Codonosigidae;family__unknown;genus__Monosiga	0	0	0	12	14	13	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Choanoflagellida;order__Codonosigidae;family__unknown;genus__Codosiga	0	0	0	164	191	207	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorophyceae;order__unknown;family__unknown;genus__unknown	13	18	14	4524	5219	5187	0	0	0	0	3	6	6	24	0	18	20
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorophyceae;order__Sphaeropleales;family__unknown;genus__Mychonastes	0	0	0	4046	3061	2534	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorophyceae;order__Sphaeropleales;family__unknown;genus__Dictyococcus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorophyceae;order__IncertaeSedis;family__unknown;genus__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chlorodendrophyceae;order__Chlorodendrales;family__unknown;genus__Tetraselmis	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__ANT37-16;order__unknown;family__unknown;genus__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__uncultured;class__unknown;order__unknown;family__unknown;genus__unknown	0	0	1	41	29	40	0	0	0	0	0	0	0	1	0	42	1
root__Root;domain__Eukaryota;phylum__Zoopagomycota;class__Entomophthoromycetes;order__Entomophthorales;family__uncultured;genus__unknown	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Zoopagomycota;class__Entomophthoromycetes;order__Entomophthorales;family__Entomophthoraceae;genus__Entomophthora	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Zoopagomycota;class__Entomophthoromycetes;order__Entomophthorales;family__Ancylistaceae;genus__Conidiobolus	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__Vertebrata;class__Mammalia;order__unknown;family__unknown;genus__unknown	0	0	0	2	4	1	3	0	1	0	0	0	2	0	0	0	0
root__Root;domain__Eukaryota;phylum__Vertebrata;class__Actinopterygii;order__unknown;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
root__Root;domain__Eukaryota;phylum__Vertebrata;class__Actinopterygii;order__Amiiformes;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Tardigrada;class__Eutardigrada;order__Parachela;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	889	388
root__Root;domain__Eukaryota;phylum__Schizoplasmodiida;class__unknown;order__unknown;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
root__Root;domain__Eukaryota;phylum__Schizoplasmodiida;class__unknown;order__unknown;family__unknown;genus__Phalansterium	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__SAR;class__Labyrinthulomycetes;order__unknown;family__unknown;genus__Sorodiplophrys	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	6	1
root__Root;domain__Eukaryota;phylum__Rotifera;class__Monogononta;order__Ploimida;family__unknown;genus__unknown	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Rotifera;class__Monogononta;order__Flosculariacea;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	0	44	14	13	0	0	0	0
root__Root;domain__Eukaryota;phylum__Rotifera;class__Bdelloidea;order__unknown;family__unknown;genus__Rotaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Rotifera;class__Bdelloidea;order__Philodinida;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
