#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Fractovitelliida;class__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	17	6
root__Root;domain__Eukaryota;phylum__Euglenozoa;class__Kinetoplastea	8	3	0	0	0	0	0	0	0	0	0	5	3	0	7	13	0
root__Root;domain__Eukaryota;phylum__Euglenozoa;class__Euglenida	0	0	0	0	9	0	0	0	0	0	0	0	1	0	2	0	0
root__Root;domain__Eukaryota;phylum__Entoprocta;class__unknown	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__unknown	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__uncultured	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__IncertaeSedis	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Dinoflagellata;class__Dinophyceae	0	0	2	1121	1022	1645	0	0	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Diatomea;class__unknown	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Diatomea;class__Mediophyceae	0	0	0	0	0	1	0	32	0	7	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Diatomea;class__Bacillariophyceae	4	6	2	124	145	130	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__Cryptomycota;class__unknown	0	0	0	94	89	96	0	0	0	0	0	0	0	0	4	1	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Postciliodesmatophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
root__Root;domain__Eukaryota;phylum__Ciliophora;class__Intramacronucleata	69	76	83	765	904	697	0	17	0	4	185	81	83	23	6	331	8
root__Root;domain__Eukaryota;phylum__Chytridiomycota;class__Monoblepharidomycetes	0	0	0	5	2	4	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Chytridiomycota;class__Chytridiomycetes	24	27	21	4	2	5	1	0	0	0	0	0	0	1	0	0	0
