#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Bacteria;phylum__Deferribacterota	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Dadabacteria	0	0	0	0	0	0	0	11	0	2	669	221	69	0	3	0	0
root__Root;domain__Bacteria;phylum__DTB120	0	0	0	0	0	0	0	11	0	0	0	8	23	0	0	0	0
root__Root;domain__Bacteria;phylum__Cyanobacteria	2968	2243	2486	47380	41020	47558	33196	63	186	18	560	232	157	9494	14	6685	13028
root__Root;domain__Bacteria;phylum__Cloacimonadota	0	0	0	0	0	0	0	1693	0	57	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Chloroflexi	1697	1036	1363	364	332	352	0	2757	25	882	1631	1398	777	3327	1076	1945	4306
root__Root;domain__Bacteria;phylum__Campilobacterota	0	0	0	0	0	0	0	2211	0	1789	0	2	0	151	0	42	34
root__Root;domain__Bacteria;phylum__Calditrichota	0	0	0	0	0	0	0	513	0	131	9	18	9	0	0	0	0
root__Root;domain__Bacteria;phylum__Caldisericota	0	0	0	0	0	0	0	129	0	355	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Caldatribacteriota	0	0	0	0	0	0	0	4618	0	57	0	0	2	0	0	0	0
root__Root;domain__Bacteria;phylum__CK-2C2-2	0	0	0	0	0	0	0	30	0	4	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Bdellovibrionota	92	62	101	11	5	2	0	34	0	12	23	254	354	144	105	80	54
root__Root;domain__Bacteria;phylum__Bacteroidota	1296	1067	1307	31675	35771	35580	2610	3464	0	363	2017	488	305	41047	1466	25090	23644
root__Root;domain__Bacteria;phylum__BHI80-139	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Bacteria;phylum__Armatimonadota	227	175	218	0	1	0	0	20	0	0	265	53	30	222	59	329	306
root__Root;domain__Bacteria;phylum__AncK6	0	0	0	0	0	0	0	2	0	0	1	41	196	0	0	0	0
root__Root;domain__Bacteria;phylum__Aerophobota	0	0	0	0	0	0	0	56	0	33	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Actinobacteriota	12830	8988	12350	28156	31271	30095	45	148	107	20	1711	486	284	5345	1316	6160	5910
root__Root;domain__Bacteria;phylum__Acidobacteriota	1984	1363	2093	3	3	7	2	1070	0	100	3311	2508	2447	340	5531	256	395
root__Root;domain__Bacteria;phylum__Acetothermia	0	0	0	0	0	0	0	934	1675	2836	87	26	12	0	0	0	0
root__Root;domain__Bacteria;phylum__Abditibacteriota	140	78	112	0	0	0	0	0	0	0	6	19	14	5	5	94	4
root__Root;domain__Bacteria;phylum__10bav-F6	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__uncultured	0	0	0	0	0	0	0	2	0	134	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Thermoplasmatota	1	0	2	0	0	0	2	1865	301	3152	53	35	46	0	0	0	0
root__Root;domain__Archaea;phylum__Nanoarchaeota	0	0	1	0	0	0	0	442	0	69	113	426	252	0	0	0	0
root__Root;domain__Archaea;phylum__Micrarchaeota	0	0	0	0	0	0	0	1	0	0	0	7	14	0	0	0	0
root__Root;domain__Archaea;phylum__Korarchaeota	0	0	0	0	0	0	0	16	1172	173	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Iainarchaeota	0	0	0	0	0	0	0	8	0	4	0	2	2	0	0	0	0
root__Root;domain__Archaea;phylum__Hydrothermarchaeota	0	0	0	0	0	0	0	45	0	40	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Halobacterota	0	0	0	0	0	0	0	13505	3534	24343	0	6	9	0	1	0	0
root__Root;domain__Archaea;phylum__Hadarchaeota	0	0	0	0	0	0	0	3	1077	28	0	0	1	0	0	0	0
root__Root;domain__Archaea;phylum__Euryarchaeota	0	0	0	0	0	0	0	1085	169	753	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Crenarchaeota	439	272	464	0	0	0	0	824	7355	10818	1544	1537	716	0	700	0	0
root__Root;domain__Archaea;phylum__Asgardarchaeota	0	0	0	0	0	0	0	382	97	68	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Altiarchaeota	0	0	0	0	0	0	0	6	0	392	0	0	0	0	0	0	0
root__Root;domain__Archaea;phylum__Aenigmarchaeota	0	0	0	0	0	0	0	156	0	38	0	5	8	0	0	0	0
Unassigned	2838	2397	3607	26548	26516	30223	656	3543	459	888	2337	1775	1234	10751	4373	16318	9427
Unaligned	8326	6010	7699	39162	38870	42486	2795	32757	32572	26915	19365	35245	30013	22575	3983	21145	14051
